position,const,created,modified,description,Title,Title type,Directors,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
1,tt0101414,Sun May 26 01:02:40 2013,Sun May 26 01:14:21 2013,"THIS IS THE ""PERFECT"" DISNEY MOVIE.",Beauty and the Beast,Feature Film,"Gary Trousdale, Kirk Wise",8,84,1991,"animation, family, fantasy, musical, romance",298555,9/29/1991,http://www.imdb.com/title/tt0101414/
3,tt0097757,Sun May 26 01:03:02 2013,Sun May 26 01:14:34 2013,Favorite Princess,The Little Mermaid,Feature Film,"Ron Clements, John Musker",7.6,83,1989,"animation, family, fantasy, musical, romance",164271,11/15/1989,http://www.imdb.com/title/tt0097757/
4,tt0029583,Sun May 26 01:03:17 2013,Sun May 26 01:03:17 2013,,Snow White and the Seven Dwarfs,Feature Film,"William Cottrell, David Hand",7.7,83,1937,"animation, family, fantasy, musical, romance",129391,12/21/1937,http://www.imdb.com/title/tt0029583/
5,tt0461770,Sun May 26 01:03:45 2013,Sun May 26 01:06:31 2013,Technically Counts,Enchanted,Feature Film,Kevin Lima,7.1,107,2007,"animation, comedy, family, fantasy, musical, romance",139090,10/20/2007,http://www.imdb.com/title/tt0461770/
6,tt0398286,Sun May 26 01:03:54 2013,Sun May 26 01:03:54 2013,,Tangled,Feature Film,"Nathan Greno, Byron Howard",7.8,100,2010,"animation, adventure, comedy, family, fantasy, musical, romance",283907,11/24/2010,http://www.imdb.com/title/tt0398286/
7,tt0780521,Sun May 26 01:04:04 2013,Sun May 26 01:04:04 2013,,The Princess and the Frog,Feature Film,"Ron Clements, John Musker",7.2,97,2009,"animation, family, fantasy, musical, romance",86632,11/25/2009,http://www.imdb.com/title/tt0780521/
8,tt0053285,Sun May 26 01:04:13 2013,Sun May 26 01:04:13 2013,,Sleeping Beauty,Feature Film,Clyde Geronimi,7.3,75,1959,"animation, family, fantasy, musical, romance",96738,1/29/1959,http://www.imdb.com/title/tt0053285/
9,tt0120762,Sun May 26 01:04:19 2013,Sun May 26 01:04:19 2013,,Mulan,Feature Film,"Tony Bancroft, Barry Cook",7.5,88,1998,"animation, adventure, family, fantasy, musical, war",165139,6/5/1998,http://www.imdb.com/title/tt0120762/
10,tt0042332,Sun May 26 01:04:26 2013,Sun May 26 01:04:26 2013,,Cinderella,Feature Film,"Clyde Geronimi, Wilfred Jackson",7.3,74,1950,"animation, family, fantasy, musical, romance",101131,2/15/1950,http://www.imdb.com/title/tt0042332/
11,tt2180411,Sat Jan 17 17:06:24 2015,Sat Jan 17 17:09:04 2015,"It's hard to categorize because the musical is amazing, the movie is good but not as good as it could have been",Into the Woods,Feature Film,Rob Marshall,6,125,2014,"adventure, fantasy, musical",97068,12/8/2014,http://www.imdb.com/title/tt2180411/
