Rank,Title,Year,Cast,Character
1,Gone With the Wind,1939,Thomas Mitchell,Gerald O'Hara
1,Gone With the Wind,1939,Barbara O'Neil,Ellen - His Wife
1,Gone With the Wind,1939,Vivien Leigh,Scarlett - Their Daughter
1,Gone With the Wind,1939,Evelyn Keyes,Suellen - Their Daughter
1,Gone With the Wind,1939,Ann Rutherford,Carreen - Their Daughter
1,Gone With the Wind,1939,George Reeves,Brent Tarleton - Scarlett's Beau
1,Gone With the Wind,1939,Fred Crane,Stuart Tarleton - Scarlett's Beau
1,Gone With the Wind,1939,Hattie McDaniel,Mammy - House Servant
1,Gone With the Wind,1939,Oscar Polk,Pork - House Servant
1,Gone With the Wind,1939,Butterfly McQueen,Prissy - House Servant
2,Star Wars: Episode IV - A New Hope,1977,Mark Hamill,Luke Skywalker
2,Star Wars: Episode IV - A New Hope,1977,Harrison Ford,Han Solo
2,Star Wars: Episode IV - A New Hope,1977,Carrie Fisher,Princess Leia Organa
2,Star Wars: Episode IV - A New Hope,1977,Peter Cushing,Grand Moff Tarkin
2,Star Wars: Episode IV - A New Hope,1977,Alec Guinness,Ben Obi-Wan Kenobi
2,Star Wars: Episode IV - A New Hope,1977,Anthony Daniels,C-3PO
2,Star Wars: Episode IV - A New Hope,1977,Kenny Baker,R2-D2
2,Star Wars: Episode IV - A New Hope,1977,Peter Mayhew,Chewbacca
2,Star Wars: Episode IV - A New Hope,1977,David Prowse,Darth Vader
2,Star Wars: Episode IV - A New Hope,1977,Phil Brown,Uncle Owen
3,The Sound of Music,1965,Julie Andrews,Maria
3,The Sound of Music,1965,Christopher Plummer,Captain Von Trapp
3,The Sound of Music,1965,Eleanor Parker,The Baroness
3,The Sound of Music,1965,Richard Haydn,Max Detweiler
3,The Sound of Music,1965,Peggy Wood,Mother Abbess
3,The Sound of Music,1965,Charmian Carr,Liesl
3,The Sound of Music,1965,Heather Menzies-Urich,Louisa
3,The Sound of Music,1965,Nicholas Hammond,Friedrich
3,The Sound of Music,1965,Duane Chase,Kurt
3,The Sound of Music,1965,Angela Cartwright,Brigitta
4,E. T. The Extra-Terrestrial,1982,Dee Wallace,Mary
4,E. T. The Extra-Terrestrial,1982,Henry Thomas,Elliott
4,E. T. The Extra-Terrestrial,1982,Peter Coyote,Keys
