Rank,Title,Year,Cast_Name,Character_Name
1,Gone With the Wind,1939,Thomas,Gerald
1,Gone With the Wind,1939,Barbara,Ellen
1,Gone With the Wind,1939,Vivien,Scarlett
1,Gone With the Wind,1939,Evelyn,Suellen
1,Gone With the Wind,1939,Ann,Carreen
1,Gone With the Wind,1939,George,Brent
1,Gone With the Wind,1939,Fred,Stuart
1,Gone With the Wind,1939,Hattie,Mammy
1,Gone With the Wind,1939,Oscar,Pork
1,Gone With the Wind,1939,Butterfly,Prissy
2,Star Wars: Episode IV - A New Hope,1977,Mark,Luke
2,Star Wars: Episode IV - A New Hope,1977,Harrison,Han
2,Star Wars: Episode IV - A New Hope,1977,Carrie,Princess
2,Star Wars: Episode IV - A New Hope,1977,Peter,Grand
2,Star Wars: Episode IV - A New Hope,1977,Alec,Ben
2,Star Wars: Episode IV - A New Hope,1977,Anthony,C-3PO
2,Star Wars: Episode IV - A New Hope,1977,Kenny,R2-D2
2,Star Wars: Episode IV - A New Hope,1977,Peter,Chewbacca
2,Star Wars: Episode IV - A New Hope,1977,David,Darth
2,Star Wars: Episode IV - A New Hope,1977,Phil,Uncle
3,The Sound of Music,1965,Julie,Maria
3,The Sound of Music,1965,Christopher,Captain
3,The Sound of Music,1965,Eleanor,The
3,The Sound of Music,1965,Richard,Max
3,The Sound of Music,1965,Peggy,Mother
3,The Sound of Music,1965,Charmian,Liesl
3,The Sound of Music,1965,Heather,Louisa
3,The Sound of Music,1965,Nicholas,Friedrich
3,The Sound of Music,1965,Duane,Kurt
3,The Sound of Music,1965,Angela,Brigitta
4,E. T. The Extra-Terrestrial,1982,Dee,Mary
4,E. T. The Extra-Terrestrial,1982,Henry,Elliott
4,E. T. The Extra-Terrestrial,1982,Peter,Keys
4,E. T. The Extra-Terrestrial,1982,Robert,Michael
4,E. T. The Extra-Terrestrial,1982,Drew,Gertie
4,E. T. The Extra-Terrestrial,1982,K.C.,Greg
4,E. T. The Extra-Terrestrial,1982,Sean,Steve
4,E. T. The Extra-Terrestrial,1982,C.,Tyler
4,E. T. The Extra-Terrestrial,1982,Erika,Pretty
4,E. T. The Extra-Terrestrial,1982,David,Schoolboy
5,Titanic,1997,Leonardo,Jack
5,Titanic,1997,Kate,Rose
5,Titanic,1997,Billy,Caledon
5,Titanic,1997,Kathy,Molly
5,Titanic,1997,Frances,Ruth
5,Titanic,1997,Gloria,Old
5,Titanic,1997,Bill,Brock
5,Titanic,1997,Bernard,Captain
5,Titanic,1997,David,Spicer
5,Titanic,1997,Victor,Thomas
6,The Ten Commandments,1956,Charlton,Moses
6,The Ten Commandments,1956,Yul,Rameses
6,The Ten Commandments,1956,Anne,Nefretiri
6,The Ten Commandments,1956,Edward,Dathan
6,The Ten Commandments,1956,Yvonne,Sephora
6,The Ten Commandments,1956,Debra,Lilia
6,The Ten Commandments,1956,John,Joshua
6,The Ten Commandments,1956,Cedric,Sethi
6,The Ten Commandments,1956,Nina,Bithiah
6,The Ten Commandments,1956,Martha,Yochabel
7,Jaws,1975,Roy,Brody
7,Jaws,1975,Robert,Quint
7,Jaws,1975,Richard,Hooper
7,Jaws,1975,Lorraine,Ellen
7,Jaws,1975,Murray,Vaughn
7,Jaws,1975,Carl,Meadows
7,Jaws,1975,Jeffrey,Hendricks
7,Jaws,1975,Susan,Chrissie
7,Jaws,1975,Jonathan,Cassidy
7,Jaws,1975,Ted,Estuary
8,Doctor Zhivago,1965,Omar,Yuri
8,Doctor Zhivago,1965,Julie,Lara
8,Doctor Zhivago,1965,Geraldine,Tonya
8,Doctor Zhivago,1965,Rod,Komarovsky
