,index,Approving ,Disapproving ,End Date ,President,Start Date  ,unsure/no data
0,0,48,48,04/13/2016,Barack Obama,04/11/2016,4
1,1,47,48,04/12/2016,Barack Obama,04/10/2016,5
2,2,48,48,04/11/2016,Barack Obama,04/09/2016,4
3,3,49,46,04/10/2016,Barack Obama,04/08/2016,5
4,4,51,45,04/09/2016,Barack Obama,04/07/2016,4
5,5,52,44,04/08/2016,Barack Obama,04/06/2016,4
6,6,52,44,04/07/2016,Barack Obama,04/05/2016,4
7,7,52,44,04/06/2016,Barack Obama,04/04/2016,4
8,8,51,44,04/05/2016,Barack Obama,04/03/2016,5
9,9,53,43,04/04/2016,Barack Obama,04/02/2016,4
10,10,52,43,04/03/2016,Barack Obama,04/01/2016,5
11,11,52,45,04/02/2016,Barack Obama,03/31/2016,3
12,12,50,46,04/01/2016,Barack Obama,03/30/2016,4
13,13,49,47,03/31/2016,Barack Obama,03/29/2016,4
14,14,49,47,03/30/2016,Barack Obama,03/28/2016,4
15,15,51,46,03/29/2016,Barack Obama,03/26/2016,3
16,16,53,44,03/28/2016,Barack Obama,03/25/2016,3
17,17,53,44,03/26/2016,Barack Obama,03/24/2016,3
18,18,53,44,03/25/2016,Barack Obama,03/23/2016,3
19,19,52,45,03/24/2016,Barack Obama,03/22/2016,3
20,20,52,45,03/23/2016,Barack Obama,03/21/2016,3
21,21,51,46,03/22/2016,Barack Obama,03/20/2016,3
22,22,51,45,03/21/2016,Barack Obama,03/19/2016,4
23,23,50,45,03/20/2016,Barack Obama,03/18/2016,5
24,24,52,44,03/19/2016,Barack Obama,03/17/2016,4
25,25,49,46,03/18/2016,Barack Obama,03/16/2016,5
26,26,49,47,03/17/2016,Barack Obama,03/15/2016,4
27,27,50,47,03/16/2016,Barack Obama,03/14/2016,3
28,28,52,45,03/15/2016,Barack Obama,03/13/2016,3
29,29,51,46,03/14/2016,Barack Obama,03/12/2016,3
30,30,51,46,03/13/2016,Barack Obama,03/11/2016,3
31,31,49,47,03/12/2016,Barack Obama,03/10/2016,4
32,32,51,44,03/11/2016,Barack Obama,03/09/2016,5
33,33,52,45,03/10/2016,Barack Obama,03/08/2016,3
34,34,52,44,03/09/2016,Barack Obama,03/07/2016,4
35,35,51,45,03/08/2016,Barack Obama,03/06/2016,4
36,36,50,47,03/07/2016,Barack Obama,03/05/2016,3
37,37,49,48,03/06/2016,Barack Obama,03/04/2016,3
38,38,51,46,03/05/2016,Barack Obama,03/03/2016,3
39,39,51,45,03/04/2016,Barack Obama,03/02/2016,4
40,40,51,44,03/03/2016,Barack Obama,03/01/2016,5
41,41,49,46,03/02/2016,Barack Obama,02/29/2016,5
42,42,49,46,03/01/2016,Barack Obama,02/28/2016,5
43,43,49,46,02/29/2016,Barack Obama,02/27/2016,5
44,44,49,46,02/28/2016,Barack Obama,02/26/2016,5
45,45,48,47,02/27/2016,Barack Obama,02/25/2016,5
46,46,47,48,02/26/2016,Barack Obama,02/24/2016,5
47,47,47,48,02/25/2016,Barack Obama,02/23/2016,5
48,48,48,48,02/24/2016,Barack Obama,02/22/2016,4
49,49,48,48,02/23/2016,Barack Obama,02/21/2016,4
50,50,47,49,02/22/2016,Barack Obama,02/20/2016,4
51,51,47,49,02/21/2016,Barack Obama,02/19/2016,4
52,52,48,48,02/20/2016,Barack Obama,02/18/2016,4
53,53,50,46,02/19/2016,Barack Obama,02/17/2016,4
54,54,50,46,02/18/2016,Barack Obama,02/16/2016,4
55,55,49,48,02/17/2016,Barack Obama,02/15/2016,3
56,56,47,50,02/16/2016,Barack Obama,02/14/2016,3
57,57,47,50,02/15/2016,Barack Obama,02/13/2016,3
58,58,47,49,02/14/2016,Barack Obama,02/12/2016,4
59,59,49,48,02/13/2016,Barack Obama,02/11/2016,3
60,60,49,47,02/12/2016,Barack Obama,02/10/2016,4
61,61,49,47,02/11/2016,Barack Obama,02/09/2016,4
62,62,48,48,02/10/2016,Barack Obama,02/08/2016,4
63,63,47,50,02/09/2016,Barack Obama,02/07/2016,3
64,64,46,51,02/08/2016,Barack Obama,02/06/2016,3
65,65,47,50,02/07/2016,Barack Obama,02/05/2016,3
66,66,46,50,02/06/2016,Barack Obama,02/04/2016,4
67,67,46,50,02/05/2016,Barack Obama,02/03/2016,4
68,68,47,49,02/04/2016,Barack Obama,02/01/2016,4
69,69,48,48,02/03/2016,Barack Obama,01/31/2016,4
70,70,50,46,02/01/2016,Barack Obama,01/30/2016,4
71,71,49,47,01/31/2016,Barack Obama,01/29/2016,4
72,72,49,48,01/30/2016,Barack Obama,01/28/2016,3
73,73,48,48,01/29/2016,Barack Obama,01/27/2016,4
74,74,48,48,01/28/2016,Barack Obama,01/26/2016,4
75,75,48,48,01/27/2016,Barack Obama,01/25/2016,4
76,76,48,48,01/26/2016,Barack Obama,01/24/2016,4
77,77,49,47,01/25/2016,Barack Obama,01/23/2016,4
78,78,48,46,01/24/2016,Barack Obama,01/22/2016,6
79,79,49,47,01/23/2016,Barack Obama,01/21/2016,4
80,80,49,47,01/22/2016,Barack Obama,01/20/2016,4
81,81,49,48,01/21/2016,Barack Obama,01/19/2016,3
82,82,47,48,01/20/2016,Barack Obama,01/18/2016,5
83,83,48,48,01/19/2016,Barack Obama,01/17/2016,4
84,84,49,46,01/18/2016,Barack Obama,01/16/2016,5
85,85,51,45,01/17/2016,Barack Obama,01/15/2016,4
86,86,49,47,01/16/2016,Barack Obama,01/14/2016,4
87,87,49,46,01/15/2016,Barack Obama,01/13/2016,5
88,88,48,47,01/14/2016,Barack Obama,01/12/2016,5
89,89,47,48,01/13/2016,Barack Obama,01/11/2016,5
90,90,44,50,01/12/2016,Barack Obama,01/10/2016,6
91,91,45,50,01/11/2016,Barack Obama,01/09/2016,5
92,92,47,49,01/10/2016,Barack Obama,01/08/2016,4
93,93,47,49,01/09/2016,Barack Obama,01/07/2016,4
94,94,46,49,01/08/2016,Barack Obama,01/06/2016,5
95,95,45,50,01/07/2016,Barack Obama,01/05/2016,5
96,96,47,48,01/06/2016,Barack Obama,01/04/2016,5
97,97,46,50,01/05/2016,Barack Obama,01/03/2016,4
98,98,46,50,01/04/2016,Barack Obama,01/02/2016,4
99,99,45,51,01/03/2016,Barack Obama,12/30/2015,4
100,100,45,51,01/02/2016,Barack Obama,12/29/2015,4
101,101,44,52,12/30/2015,Barack Obama,12/28/2015,4
102,102,46,50,12/29/2015,Barack Obama,12/27/2015,4
103,103,47,49,12/28/2015,Barack Obama,12/23/2015,4
104,104,48,48,12/27/2015,Barack Obama,12/22/2015,4
105,105,46,50,12/23/2015,Barack Obama,12/21/2015,4
106,106,46,50,12/22/2015,Barack Obama,12/20/2015,4
107,107,46,50,12/21/2015,Barack Obama,12/19/2015,4
108,108,45,50,12/20/2015,Barack Obama,12/18/2015,5
109,109,44,51,12/19/2015,Barack Obama,12/17/2015,5
110,110,42,53,12/18/2015,Barack Obama,12/16/2015,5
111,111,43,53,12/17/2015,Barack Obama,12/15/2015,4
112,112,45,51,12/16/2015,Barack Obama,12/14/2015,4
113,113,46,50,12/15/2015,Barack Obama,12/13/2015,4
114,114,46,50,12/14/2015,Barack Obama,12/12/2015,4
115,115,46,50,12/13/2015,Barack Obama,12/11/2015,4
116,116,45,50,12/12/2015,Barack Obama,12/10/2015,5
117,117,44,51,12/11/2015,Barack Obama,12/09/2015,5
118,118,44,51,12/10/2015,Barack Obama,12/08/2015,5
119,119,45,50,12/09/2015,Barack Obama,12/07/2015,5
120,120,47,49,12/08/2015,Barack Obama,12/06/2015,4
121,121,47,49,12/07/2015,Barack Obama,12/05/2015,4
122,122,49,48,12/06/2015,Barack Obama,12/04/2015,3
123,123,47,48,12/05/2015,Barack Obama,12/03/2015,5
124,124,48,47,12/04/2015,Barack Obama,12/02/2015,5
125,125,47,48,12/03/2015,Barack Obama,12/01/2015,5
126,126,47,50,12/02/2015,Barack Obama,11/30/2015,3
127,127,46,50,12/01/2015,Barack Obama,11/29/2015,4
128,128,46,50,11/30/2015,Barack Obama,11/28/2015,4
129,129,47,47,11/29/2015,Barack Obama,11/27/2015,6
130,130,46,48,11/28/2015,Barack Obama,11/25/2015,6
131,131,46,49,11/27/2015,Barack Obama,11/24/2015,5
132,132,44,51,11/25/2015,Barack Obama,11/23/2015,5
133,133,44,51,11/24/2015,Barack Obama,11/22/2015,5
134,134,44,52,11/23/2015,Barack Obama,11/21/2015,4
135,135,43,52,11/22/2015,Barack Obama,11/20/2015,5
